0 1 1 1 0   1 0 0 0 1   1 1 1 1 1   1 0 0 0 1   1 0 0 0 1 0
1 1 1 1 0   1 0 0 0 1   1 1 1 1 0   1 0 0 0 1   1 1 1 1 0 1
0 1 1 1 1   1 0 0 0 0   1 0 0 0 0   1 0 0 0 0   0 1 1 1 1 2
1 1 1 1 0   1 0 0 0 1   1 0 0 0 1   1 0 0 0 1   1 1 1 1 0 3
1 1 1 1 1   1 0 0 0 0   1 1 1 0 0   1 0 0 0 0   1 1 1 1 1 4
1 1 1 1 1   1 0 0 0 0   1 1 1 0 0   1 0 0 0 0   1 0 0 0 0 5
0 1 1 1 1   1 0 0 0 0   1 0 1 1 1   1 0 0 0 1   0 1 1 1 0 6
1 0 0 0 1   1 0 0 0 1   1 1 1 1 1   1 0 0 0 1   1 0 0 0 1 7
0 0 1 0 0   0 0 1 0 0   0 0 1 0 0   0 0 1 0 0   0 0 1 0 0 8
0 0 0 0 1   0 0 0 0 1   0 0 0 0 1   1 0 0 0 1   0 1 1 1 0 9
1 0 0 0 1   1 0 0 1 0   1 1 1 0 0   1 0 0 1 0   1 0 0 0 1 10
1 0 0 0 0   1 0 0 0 0   1 0 0 0 0   1 0 0 0 0   1 1 1 1 1 11
1 0 0 0 1   1 1 0 1 1   1 0 1 0 1   1 0 0 0 1   1 0 0 0 1 12
1 0 0 0 1   1 1 0 0 1   1 0 1 0 1   1 0 0 1 1   1 0 0 0 1 13
0 1 1 1 0   1 0 0 0 1   1 0 0 0 1   1 0 0 0 1   0 1 1 1 0 14
1 1 1 1 0   1 0 0 0 1   1 1 1 1 0   1 0 0 0 0   1 0 0 0 0 15
0 1 1 1 0   1 0 0 0 1   1 0 1 0 1   1 0 0 1 0   0 1 1 0 1 16
1 1 1 1 0   1 0 0 0 1   1 1 1 1 0   1 0 0 0 1   1 0 0 0 1 17
0 1 1 1 1   1 0 0 0 0   0 1 1 1 0   0 0 0 0 1   1 1 1 1 0 18
1 1 1 1 1   0 0 1 0 0   0 0 1 0 0   0 0 1 0 0   0 0 1 0 0 19
1 0 0 0 1   1 0 0 0 1   1 0 0 0 1   1 0 0 0 1   0 1 1 1 0 20
1 0 0 0 1   1 0 0 0 1   1 0 0 0 1   0 1 0 1 0   0 0 1 0 0 21
1 0 0 0 1   1 0 0 0 1   1 0 1 0 1   1 1 0 1 1   1 0 0 0 1 22
1 0 0 0 1   0 1 0 1 0   0 0 1 0 0   0 1 0 1 0   1 0 0 0 1 23
1 0 0 0 1   0 1 0 1 0   0 0 1 0 0   0 0 1 0 0   0 0 1 0 0 24
1 1 1 1 1   0 0 0 1 0   0 0 1 0 0   0 1 0 0 0   1 1 1 1 1 25
